,article_id,authorId,name,url
0,,1492088569,Adham Abdelrahim,https://www.semanticscholar.org/author/1492088569
1,,2374367,Neel A. Shimpi,https://www.semanticscholar.org/author/2374367
2,,31829592,H. Hegde,https://www.semanticscholar.org/author/31829592
3,,1667804623,Katelyn C Kleutsch,https://www.semanticscholar.org/author/1667804623
4,,46769041,P. Chyou,https://www.semanticscholar.org/author/46769041
5,,2069921229,Gaurav Jain,https://www.semanticscholar.org/author/2069921229
6,,145748523,A. Acharya,https://www.semanticscholar.org/author/145748523
7,,2267736,J. Irwin,https://www.semanticscholar.org/author/2267736
8,,144301516,T. Schleyer,https://www.semanticscholar.org/author/144301516
9,,5922767,J. Valenza,https://www.semanticscholar.org/author/5922767
10,,20055813,James M Spence,https://www.semanticscholar.org/author/20055813
11,,49843076,David Taylor,https://www.semanticscholar.org/author/49843076
12,,2440689,M. Walji,https://www.semanticscholar.org/author/2440689
13,,144492528,Min Wu,https://www.semanticscholar.org/author/144492528
14,,2143362844,Xinlei Zhao,https://www.semanticscholar.org/author/2143362844
